headlines,terms,dates
"gates: obama, gwb used military as a prop -- but trump administration takes those efforts to 'a new level'",trump,2020-06-14
trump campaign claims record number of ticket requests for rescheduled tulsa rally,trump,2020-06-14
kudlow says it's 'probably' good idea for trump supporters to wear masks to oklahoma rally,trump,2020-06-14
chris wallace on trump-biden race being far from decided: 'everything can change',trump,2020-06-14
"spurs' gregg popovich calls out jerry jones, robert kraft for supporting president trump",trump,2020-06-14
dem congresswoman pushes back on trump's claim that he’s done more for black americans than any president other than lincoln,trump,2020-06-14
"trump warns nfl, us soccer he'll tune them out over anthem protests: 'i won't be watching'",trump,2020-06-14
trump battles health officials over indoor rally,trump,2020-06-15
president trump set to announce police reform plan,trump,2020-06-15
"steve hilton says voters must decide: 'reform the police with trump, or abolish the police with democrats'",trump,2020-06-15
trump calls shooting death of rayshard brooks 'very disturbing',trump,2020-06-15
steve hilton: trump can give voters a choice - reform the police with him or abolish them with democrats,trump,2020-06-15
trump campaign rips planned parenthood endorsement of biden,trump,2020-06-15
trump campaign touts 1 million ticket requests for tulsa rally,trump,2020-06-15
trump campaign seeks apology from cnn after stelter ‘sexist’ interview,trump,2020-06-15
trump kicks off week with biden broadside: ‘he’s weak & shot!’,trump,2020-06-15
jack brewer: “disturbing” for biden to call trump racist after crime bill,trump,2020-06-15
trump calls bolton's memoir 'highly inappropriate' as wh readies legal action to stop publication,trump,2020-06-15
conway says trump will sign police reform bill if it's 'reasonable and negotiated',trump,2020-06-15
politifact says cuomo's ny nursing home policy claim blaming trump admin is 'mostly false',trump,2020-06-15
president trump says media trying to 'covid shame' upcoming tulsa rally,trump,2020-06-15
"trump's birthday marks rnc, trump campaign's single best online fundraising day ever",trump,2020-06-15
fifa urges 'mutual respect' in response to trump tweet on us soccer,trump,2020-06-15
trump claims media trying to ‘covid shame’ over his upcoming rally,trump,2020-06-15
ben carson says trump will ‘get there’ on players kneeling during anthem,trump,2020-06-15
president trump calls for unity at signing for police reform executive order,trump,2020-06-16
"white house defends trump administration efforts on prison, police reform",trump,2020-06-16
lara trump fires back at critics of tulsa rally: 'nobody has to attend the rally. this is a choice',trump,2020-06-16
mercedes schlapp: simply not true president trump is unhappy with brad parscale,trump,2020-06-16
trump calls school choice the civil rights issue of ‘all-time in this country’,trump,2020-06-16
