,Unnamed: 0,ID,YEAR_FIPS,YEAR,STATE_FIPS,COUNTY_FIPS,STATE,COUNTY,REP_CANDIDATE,DEM_CANDIDATE,REP_VOTES,DEM_VOTES,COUNTY_TOTALVOTES,WINNING_CANDIDATE,WINNING_PARTY,WINNING_PARTY_BINARY,HOUSE_WINNING_BINARY,SENATE_WINNING_BINARY,UNEMPLOYMENT_RATE,AVG_WAGE_SALARY,AA_FEMALE,AA_MALE,BA_FEMALE,BA_MALE,H_FEMALE,H_MALE,IA_FEMALE,IA_MALE,NA_FEMALE,NA_MALE,TOT_FEMALE,TOT_MALE,TOT_POP,WA_FEMALE,WA_MALE,TOT_POP_LESS19,TOT_MALE_LESS19,TOT_FEMALE_LESS19,TOT_POP_20to39,TOT_MALE_20to39,TOT_FEMALE_20to39,TOT_POP_40to59,TOT_MALE_40to59,TOT_FEMALE_40to59,TOT_POP_Above60,TOT_MALE_Above60,TOT_FEMALE_Above60,AA_FEMALE%,AA_MALE%,BA_FEMALE%,BA_MALE%,H_FEMALE%,H_MALE%,IA_FEMALE%,IA_MALE%,NA_FEMALE%,NA_MALE%,WA_FEMALE%,WA_MALE%,TOT_FEMALE%,TOT_MALE%,TOT_POP_LESS19%,TOT_POP_20to39%,TOT_POP_40to59%,TOT_POP_Above60%
34,34,666,20201069,2020,1,69,Alabama,Houston County,,,,,,,,0,1.0,-1.0,5.8,200960,651,459,15190,13301,1701,1900,306,260,57,42,54436,50286,104722,37164,35160,26371,13667,12704,26116,12669,13447,26895,12750,14145,25340,11200,14140,0.006216459000000001,0.004383033,0.145050706,0.127012471,0.016243005,0.018143275,0.0029220220000000002,0.002482764,0.000544298,0.000401062,0.354882451,0.33574607100000003,0.519814366,0.480185634,0.251819102,0.24938408399999998,0.256822826,0.241973988
35,35,667,20201071,2020,1,71,Alabama,Jackson County,,,,,,,,0,1.0,-1.0,6.3,833016,168,135,932,923,716,812,447,423,27,30,26346,25390,51736,24027,23188,11890,6215,5675,11600,5730,5870,13931,6916,7015,14315,6529,7786,0.003247255,0.0026094020000000002,0.018014535,0.017840575,0.013839493000000001,0.015695067,0.008640019,0.008176125,0.00052188,0.000579867,0.464415494,0.44819854600000003,0.5092392139999999,0.490760786,0.229820628,0.224215247,0.269270914,0.27669321199999997
36,36,668,20201073,2020,1,73,Alabama,Jefferson County,,,,,,,,0,1.0,-1.0,5.7,1363206,6135,5541,155744,130757,12306,13940,967,925,236,140,347709,311591,659300,180216,170241,166689,84367,82322,181445,87029,94416,163990,77441,86549,147176,62754,84422,0.009305324,0.008404368,0.23622630100000003,0.198327013,0.018665251,0.021143637000000003,0.001466707,0.0014030029999999999,0.000357955,0.00021234599999999998,0.273344456,0.258214773,0.5273911720000001,0.472608828,0.25282724100000004,0.275208555,0.248733505,0.22323069899999998
37,37,669,20201075,2020,1,75,Alabama,Lamar County,,,,,,,,0,1.0,-1.0,5.6,146488,8,6,774,692,106,128,23,17,1,1,7077,6767,13844,6154,5930,3243,1673,1570,2934,1443,1491,3666,1827,1839,4001,1824,2177,0.000577868,0.000433401,0.055908697,0.049985552999999995,0.007656746999999999,0.009245883,0.00166137,0.001227969,7.219999999999999e-05,7.219999999999999e-05,0.444524704,0.428344409,0.511196186,0.488803814,0.23425310600000002,0.211932967,0.264807859,0.289006068
38,38,670,20201077,2020,1,77,Alabama,Lauderdale County,,,,,,,,0,1.0,-1.0,6.3,100782,376,332,5034,4264,1330,1314,197,220,26,26,48060,44327,92387,41661,38697,20911,10580,10331,23787,11759,12028,22732,10989,11743,24957,10999,13958,0.004069837,0.0035935790000000004,0.054488185999999994,0.04615368,0.014395965,0.01422278,0.002132335,0.002381287,0.000281425,0.000281425,0.45094006700000006,0.418857631,0.520203059,0.47979694100000003,0.22634136800000001,0.257471289,0.24605193399999997,0.270135409
39,39,671,20201079,2020,1,79,Alabama,Lawrence County,,,,,,,,0,1.0,-1.0,6.9,357302,42,35,1898,1708,343,391,972,941,2,5,16910,16047,32957,13189,12583,7785,3992,3793,7562,3745,3817,9159,4468,4691,8451,3842,4609,0.001274388,0.00106199,0.057590193,0.051825105,0.010407501,0.011863944,0.029492976,0.028552356,6.07e-05,0.000151713,0.400188124,0.381800528,0.513092818,0.48690718200000005,0.23621688899999999,0.229450496,0.277907577,0.25642503899999997
40,40,672,20201081,2020,1,81,Alabama,Lee County,,,,,,,,0,1.0,-1.0,5.2,433356,3236,3640,20400,17452,2894,3270,276,335,69,79,83302,80639,163941,57941,57749,42578,21594,20984,55510,27995,27515,38117,18451,19666,27736,12599,15137,0.019738808,0.02220311,0.12443501,0.106452931,0.017652692,0.0199462,0.0016835320000000002,0.002043418,0.00042088300000000004,0.000481881,0.35342592799999994,0.352254775,0.5081218239999999,0.491878176,0.259715385,0.33859742200000004,0.23250437699999998,0.169182816
41,41,673,20201083,2020,1,83,Alabama,Limestone County,,,,,,,,0,1.0,-1.0,5.2,91034,854,681,6428,6892,2892,3018,374,421,100,85,48018,48156,96174,39120,38936,23756,12053,11703,24374,12602,11772,27540,14055,13485,20504,9446,11058,0.008879739000000001,0.007080916,0.06683719099999999,0.07166178,0.030070497,0.031380622999999996,0.003888785,0.004377482,0.001039782,0.000883815,0.406762743,0.404849544,0.49928255,0.50071745,0.24701062699999998,0.25343648,0.28635598,0.213196914
42,42,674,20201085,2020,1,85,Alabama,Lowndes County,,,,,,,,0,1.0,-1.0,10.5,128724,22,22,3920,3316,96,77,19,18,0,4,5304,4670,9974,1309,1276,2440,1209,1231,2380,1135,1245,2542,1177,1365,2612,1149,1463,0.002205735,0.002205735,0.39302185700000003,0.332464407,0.009625025,0.007720072,0.0019049529999999998,0.001804692,0.0,0.000401043,0.131241227,0.127932625,0.531782635,0.468217365,0.244636054,0.238620413,0.254862643,0.26188089
43,43,675,20201087,2020,1,87,Alabama,Macon County,,,,,,,,0,1.0,-1.0,7.6,236088,36,76,8277,6609,155,182,30,19,1,2,10056,8383,18439,1556,1572,4201,2038,2163,5108,2354,2754,4136,1853,2283,4994,2138,2856,0.001952384,0.004121699,0.448885514,0.35842507700000004,0.008406096,0.009870383,0.001626986,0.001030425,5.42e-05,0.000108466,0.084386355,0.085254081,0.545365801,0.45463419899999996,0.22783231199999998,0.27702153,0.224307175,0.27083898300000003
44,44,676,20201089,2020,1,89,Alabama,Madison County,,,,,,,,0,1.0,-1.0,5.1,1120680,5409,4406,48720,42553,8985,9593,1488,1480,205,217,187445,179074,366519,126594,125744,90000,45949,44051,99321,49805,49516,98922,47949,50973,78276,35371,42905,0.014757761999999999,0.012021205,0.13292626,0.11610039300000001,0.024514418,0.026173268,0.004059817,0.00403799,0.000559316,0.000592057,0.345395464,0.343076348,0.511419599,0.488580401,0.24555343699999999,0.270984587,0.269895967,0.21356600899999997
