date,text
2020-06-19,"trump attacks bolton, supreme court and media"
2020-06-19,trump 2020 communications director says campaign must 'define' biden 'and his record of failure'
2020-06-19,trump wants 4 debates and to help pick the moderators
2020-06-19,trump looks for his way back machine in tulsa
2020-06-19,cal thomas: trump's tulsa rally -- this is the speech the president needs to give
2020-06-19,"trump signals he has ‘interesting’ details on roswell, as son grills him about aliens"
2020-06-19,trump predicts nfl will have 'a lot of problems' if it allows kneeling
2020-06-19,twitter slaps trump with 'manipulated media' label over satirical video mocking cnn
2020-06-19,trump dismisses fauci's assessment of upcoming nfl season amid pandemic
2020-06-19,twitter disables satirical video posted by trump to mock cnn
2020-06-19,trump says surge in voting by mail his ‘biggest risk’
2020-06-19,"trump touts nearly $1b in us infrastructure plans, proposals"
2020-06-19,everyone has an opinion
2020-06-19,bolton book rocks d.c.
2020-06-19,charles hurt bashes bolton over claim trump unfit for office: 'john bolton has never been elected to anything'
2020-06-19,"oklahoma judge allows trump rally to proceed as planned, as president says tulsa curfew being lifted"
2020-06-19,"grenell trashes bolton, claims ex-security adviser 'saved salacious stories in order to sell books'"
2020-06-19,"al sharpton to speak at juneteenth event in tulsa, ahead of trump rally"
2020-06-19,"acting dhs chief responds to 'very troubling' supreme court daca ruling, says program 'clearly unlawful'"
2020-06-19,"trump rally coincides with massive voter outreach push, as campaign season restarts"
2020-06-20,trump hits campaign trail with 'america first' message amid coronavirus pandemic
2020-06-20,doug schoen: biden outpolls trump among key group trump carried in 2016 – president’s mismanagement big issue
2020-06-20,sen. tom cotton slams justice roberts on daca decision for applying 'different standards' to obama and trump
2020-06-20,six members of trump advance team in tulsa test positive for coronavirus
2020-06-20,trump returns to 2020 campaign trail with tulsa rally
2020-06-20,trump expected to sign executive order expanding immigration restrictions
2020-06-20,"trump and rnc trail biden in may fundraising, but maintain cash advantage heading into summer"
2020-06-20,judge jeanine pirro says trump's daca loss at supreme court proves 'we got a problem in washington'
2020-06-20,"us attorney for southern district of new york resigning, barr says"
2020-06-20,biden forms early white house transition team
2020-06-20,ag barr: trump has fired sdny federal prosecutor who refused to leave
2020-06-20,"cbp chief: supreme court's daca ruling 'disappointing,' gives child smugglers 'green light'"
2020-06-20,jessica tarlov slams trump campaign over 'reckless' tulsa rally: 'this is not the time to do it'
2020-06-20,"graham says he won't advance trump nominee for sdny prosecutor without schumer, gillibrand consent"
2020-06-20,mueller report redactions lifted after lawsuit
2020-06-20,"trump ex-lawyer overheard roger stone phone call about wikileaks, docs reveal: report"
2020-06-20,"trump prepares for first campaign rally in months in tulsa amid concerns about coronavirus, violence"
2020-06-20,mercedes colwin on why she applauds the supreme court's daca decision
2020-06-20,national anthem at trump rally to be sung by widow of slain oklahoma labor commissioner
2020-06-20,charlie hurt: trump-fauci difference over nfl outlook proves president can work through disagreements
2020-06-21,eric trump on the president's tulsa rally: 'you need the spirit back in the country'
2020-06-21,'gutfeld' guests say trump was 'comedic genius' at tulsa rally while pence lacked 'razzmatazz'
2020-06-21,trump blasts attempts to remove historic statues as 'censorship'
2020-06-21,trump blasts attempts to remove confederate statues as 'censorship'
2020-06-21,"earthquake strikes oklahoma after tulsa trump rally, shaking felt around state"
2020-06-21,biden campaign adviser weighs in on why former vp hasn't held news conference in nearly three months
